Comment,Description,Designator,Footprint,LibRef,Quantity

"S8411-45R","BATTERY HOLDER COIN 12MM SMD","BT600","FP-S8411-45R-MFG","CMP-15817-000007-1","1"
"10u","Capacitor SMD 0805","C100, C102, C201, C202, C203, C204, C301, C305, C403, C600","CAP_0805","CAP_0805","10"
"100n","Capacitor SMD 0603","C101, C103, C104, C205, C206, C207, C300, C302, C306, C401, C402, C404, C601, C602, C603, C604","CAP_0603","CAP_0603","16"
"100n","Capacitor SMD 0805","C200","CAP_0805","CAP_0805","1"
"33pF","Capacitor SMD 0603","C303, C304","CAP_0603","CAP_0603","2"
"2.2nF","Capacitor SMD 0603","C400","CAP_0603","CAP_0603","1"
"D_SCH_SMA","Diode Schottky SMD SMA (DO-214AA)","D200","DO-214AC-2 (SMA)","D_SCHOTTKY_SMA","1"
"SMBJ24A","TVS DIODE 24V 38.9V SMB","D201","FP-SMBJ-MFG","CMP-07401-000035-1","1"
"USBLC6-2SC6","Low-Capacitance ESD Protection USB","D202","SOT-23-6","USBLC6-2SC6","1"
"P6SMB18CA","TVS DIODE 15.3V 25.5V DO214AA","D203","FP-P6SMB-CA-MFG","CMP-08607-000095-1","1"
"BAT54J,115","DIODE SCHOTTKY 30V 200MA SOD323F","D600","FP-SOD323F-MFG","CMP-14398-000037-1","1"
"2920L050/72GR","PTC RESET FUSE 60V 1.1A 2920","F200","FP-2920L-MFG","CMP-08606-000028-1","1"
"C-OBD-II-16M","OBD II 16pin 90 Degree Angle Male Plug Connector","J200","COMTECH_C-OBD-II-16M","CMP-002-00074-1","1"
"USB4105-GF-A-060","USB Connector Type C SMT 12 Pin","J201","USB4105-GF-A-060","USB4105-GF-A-060","1"
"TSW-102-14-G-S","CONN HEADER VERT 2POS 2.54MM","J300","FP-TSW-102-14-G-S-MFG","CMP-02766-001740-1","1"
"4.7uH","Power Inductor SMD ASPI-4030S Series","L200","ASPI-4030S","ASPI-4030S","1"
"NEO-M9N-00B","M9 standard precision module","MD600","FP-NEO-M9N-00B-MFG","CMP-207130-000006-2","1"
"TOGIALED  TJ-S2012SW8TWMLCCYRGB-A5","RGB LED Common Anode SMD Diffused 0805 Top View","MODE","150080M153000","150080M153000","1"
"ST-TF-003A","Micro SD Card Socket","P1","SUNTECH_ST-TF-003A","CMP-002-00072-2","1"
"U.FL-R-SMT-1(01)","Ultra Small Coaxial Connector, 6 GHz, -40 to 90 degC, 3-Pin SMD, RoHS, Bulk","P600","HRS-U.FL-R-SMT-3_V","CMP-2000-05153-1","1"
"GREEN","LED 0603 GREEN SMD","POWER","LED_0603_GREEN","LED_0603_GREEN","1"
"BSS138","MOSFET N-CH 50V 220MA SOT-23","Q100, Q101","FP-318-08-IPC_B","CMP-07173-000101-1","2"
"10k","Resistor SMD 0603","R100, R101, R300","RES_0603","RES_0603","3"
"620Ohm","Resistor SMD 0603","R102, R103","RES_0603","RES_0603","2"
"360Ohm","Resistor SMD 0603","R104, R105","RES_0603","RES_0603","2"
"100k","Resistor SMD 0805","R200","RES_0805","RES_0805","1"
"10k","Resistor SMD 0805","R201","RES_0805","RES_0805","1"
"5k1","Resistor SMD 0603","R202, R203, R204, R302, R303, R304, R305, R400, R401, R500, R501, R502, R600, R601","RES_0603","RES_0603","14"
"120Ohm","Resistor SMD 0603","R301","RES_0603","RES_0603","1"
"TL1015AF160QG","SWITCH TACTILE SPST-NO 0.05A 12V","SW100, SW101","FP-TL1015AF160QG-MFG","CMP-17879-000003-1","2"
"ESP32-S3-WROOM-1-N4","2.4 GHz Wi-Fi (802.11 b/g/n) and Bluetooth 5 (LE) Module ESP32-S3, 4MB Flash, on-board PCB antenna)","U100","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1-N4","1"
"CP2102N-A02-GQFN24R","IC USB TO UART BRIDGE QFN24","U101","FP-CP2102N-A02-GQFN24R-MFG","CMP-08107-000009-2","1"
"AP63205WU-7","IC REG BUCK 5V 2A TSOT26","U200","FP-TSOT26-MFG","CMP-12757-000001-1","1"
"NCP115ASN330T2G","LDO Regulator - High PSRR 300 mA 3.3V TSOP-5","U201","TSOT25","NCP115ASN330T2G","1"
"TJA1042T/3/CM,118","IC TRANSCEIVER HALF 1/1 8SO","U300","FP-SOT96-1-IPC_A","CMP-10098-000021-1","1"
"MCP2515T-I/SO","Stand-Alone CAN Controller With SPI Interface, 18-Pin SOIC, Industrial Temperature, Tape and Reel","U301","SOIC-SO18_N","CMP-0186-00139-2","1"
"MPU-6050","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel","U400","IS-QFN-24_V","CMP-1753-00002-2","1"
"ECS-80-20-4X","","Y300","FP-ECS-80-20-4X-MFG","CMP-1669-00002-3","1"
