Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\test\CAR_Interface\Project Outputs for CAR_Interface\Pick Place for CAR_Interface_PCB.csv

========================================================================================================================
File Design Information:

Date:       09/06/26
Time:       01:34
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P1","ST-TF-003A","TopLayer","SUNTECH_ST-TF-003A","-0.3300","-20.0200","0","Micro SD Card Socket"
"F200","2920L050/72GR","TopLayer","FP-2920L-MFG","29.9000","19.2000","180","PTC RESET FUSE 60V 1.1A 2920"
"D201","SMBJ24A","TopLayer","FP-SMBJ-MFG","28.3750","25.4750","0","TVS DIODE 24V 38.9V SMB"
"Y300","ECS-80-20-4X","TopLayer","FP-ECS-80-20-4X-MFG","9.5000","6.2150","270",""
"U400","MPU-6050","TopLayer","IS-QFN-24_V","16.6000","-9.4000","90","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"U301","MCP2515T-I/SO","TopLayer","SOIC-SO18_N","0.4000","2.5500","180","Stand-Alone CAN Controller With SPI Interface, 18-Pin SOIC, Industrial Temperature, Tape and Reel"
"U300","TJA1042T/3/CM,118","TopLayer","FP-SOT96-1-IPC_A","22.1000","8.9500","0","IC TRANSCEIVER HALF 1/1 8SO"
"U201","NCP115ASN330T2G","TopLayer","TSOT25","6.8750","16.3750","270","LDO Regulator - High PSRR 300 mA 3.3V TSOP-5"
"U200","AP63205WU-7","TopLayer","FP-TSOT26-MFG","20.4750","20.7250","180","IC REG BUCK 5V 2A TSOT26"
"U101","CP2102N-A02-GQFN24R","TopLayer","FP-CP2102N-A02-GQFN24R-MFG","-30.4453","14.4798","180","IC USB TO UART BRIDGE QFN24"
"U100","ESP32-S3-WROOM-1-N4","TopLayer","ESP32-S3-WROOM-1","-23.4350","0.0000","90","2.4 GHz Wi-Fi (802.11 b/g/n) and Bluetooth 5 (LE) Module ESP32-S3, 4MB Flash, on-board PCB antenna)"
"SW101","TL1015AF160QG","TopLayer","FP-TL1015AF160QG-MFG","-28.6545","27.5000","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW100","TL1015AF160QG","TopLayer","FP-TL1015AF160QG-MFG","-37.0000","14.0000","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"R601","5k1","TopLayer","RES_0603","-30.2375","-21.7000","90","Resistor SMD 0603"
"R600","5k1","TopLayer","RES_0603","-30.2500","-14.9500","270","Resistor SMD 0603"
"R502","5k1","TopLayer","RES_0603","0.8000","-12.2500","90","Resistor SMD 0603"
"R501","5k1","TopLayer","RES_0603","-4.6000","-12.3000","90","Resistor SMD 0603"
"R500","5k1","TopLayer","RES_0603","-6.9400","-12.3000","90","Resistor SMD 0603"
"R401","5k1","TopLayer","RES_0603","10.6500","-9.1500","90","Resistor SMD 0603"
"R400","5k1","TopLayer","RES_0603","10.6500","-11.9000","270","Resistor SMD 0603"
"R305","5k1","TopLayer","RES_0603","-7.0000","1.2500","180","Resistor SMD 0603"
"R304","5k1","TopLayer","RES_0603","-7.0000","-1.2600","180","Resistor SMD 0603"
"R303","5k1","TopLayer","RES_0603","-7.0000","0.0000","180","Resistor SMD 0603"
"R302","5k1","TopLayer","RES_0603","-7.0000","5.0000","180","Resistor SMD 0603"
"R301","120Ohm","TopLayer","RES_0603","30.9000","1.5000","270","Resistor SMD 0603"
"R300","10k","TopLayer","RES_0603","24.8000","12.6000","180","Resistor SMD 0603"
"R204","5k1","TopLayer","RES_0603","-35.3000","28.6000","180","Resistor SMD 0603"
"R203","5k1","TopLayer","RES_0603","-35.5500","16.6000","180","Resistor SMD 0603"
"R202","5k1","TopLayer","RES_0603","5.1750","19.1250","180","Resistor SMD 0603"
